date_record,id,name,volume,inflow,outflow,percent_storage
2020-01-01,rsv357,อ่างเก็บน้ำดอกกราย,34.367,0,0,48.13
2020-01-01,rsv359,อ่างเก็บน้ำคลองใหญ่,10.635,0,0,20.94
2020-01-01,100504,เขื่อนหนองปลาไหล,56.81,0.227,0.276,34.7
2020-01-01,100505,เขื่อนประแสร์,121.68,0,0.45,41.25
2020-01-02,rsv357,อ่างเก็บน้ำดอกกราย,34.229,0.033,0,47.94
2020-01-02,rsv359,อ่างเก็บน้ำคลองใหญ่,10.58,0.021,0,20.83
2020-01-02,100504,เขื่อนหนองปลาไหล,56.01,0,0.276,34.2
2020-01-02,100505,เขื่อนประแสร์,121.11,0,0.48,41.05
2020-01-03,rsv357,อ่างเก็บน้ำดอกกราย,34.092,0,0,47.75
2020-01-03,rsv359,อ่างเก็บน้ำคลองใหญ่,10.588,0.021,0,20.84
2020-01-03,100504,เขื่อนหนองปลาไหล,55.2,0,0.275,33.71
2020-01-03,100505,เขื่อนประแสร์,120.49,0,0.5,40.84
2020-01-04,rsv357,อ่างเก็บน้ำดอกกราย,34.024,0.051,0,47.65
2020-01-04,rsv359,อ่างเก็บน้ำคลองใหญ่,10.588,0.021,0,20.84
2020-01-04,100504,เขื่อนหนองปลาไหล,54.74,0.358,0.274,33.43
2020-01-04,100505,เขื่อนประแสร์,119.87,0,0.5,40.63
2020-01-05,rsv357,อ่างเก็บน้ำดอกกราย,33.955,0.061,0,47.56
2020-01-05,rsv359,อ่างเก็บน้ำคลองใหญ่,10.588,0.021,0,20.84
2020-01-05,100504,เขื่อนหนองปลาไหล,54.04,0.063,0.19,33
2020-01-05,100505,เขื่อนประแสร์,119.19,0,0.56,40.4
2020-01-06,rsv357,อ่างเก็บน้ำดอกกราย,33.819,0,0,47.37
2020-01-06,rsv359,อ่างเก็บน้ำคลองใหญ่,10.588,0.021,0,20.84
2020-01-06,100504,เขื่อนหนองปลาไหล,53.47,0.11,0.189,32.65
2020-01-06,100505,เขื่อนประแสร์,118.51,0,0.56,40.17
2020-01-07,rsv357,อ่างเก็บน้ำดอกกราย,33.682,0,0,47.17
2020-01-07,rsv359,อ่างเก็บน้ำคลองใหญ่,10.494,0.019,0.092,20.66
2020-01-07,100504,เขื่อนหนองปลาไหล,52.77,0.131,0.189,32.23
2020-01-07,100505,เขื่อนประแสร์,117.83,0,0.56,39.94
2020-01-08,rsv357,อ่างเก็บน้ำดอกกราย,33.547,0,0,46.98
2020-01-08,rsv359,อ่างเก็บน้ำคลองใหญ่,10.309,0.018,0.182,20.29
2020-01-08,100504,เขื่อนหนองปลาไหล,51.85,0.005,0.272,31.66
2020-01-08,100505,เขื่อนประแสร์,117.27,0,0.44,39.75
2020-01-09,rsv357,อ่างเก็บน้ำดอกกราย,33.479,0.065,0,46.89
2020-01-09,rsv359,อ่างเก็บน้ำคลองใหญ่,10.082,0,0.182,19.85
2020-01-09,100504,เขื่อนหนองปลาไหล,50.81,0,0.354,31.03
2020-01-09,100505,เขื่อนประแสร์,116.75,0,0.41,39.58
2020-01-10,rsv357,อ่างเก็บน้ำดอกกราย,33.344,0,0,46.7
2020-01-10,rsv359,อ่างเก็บน้ำคลองใหญ่,9.948,0.068,0.182,19.58
2020-01-10,100504,เขื่อนหนองปลาไหล,49.89,0.079,0.353,30.47
2020-01-10,100505,เขื่อนประแสร์,116.22,0,0.41,39.4
2020-01-11,rsv357,อ่างเก็บน้ำดอกกราย,33.685,0.53,0,47.18
2020-01-11,rsv359,อ่างเก็บน้ำคลองใหญ่,9.816,0.068,0.181,19.32
2020-01-11,100504,เขื่อนหนองปลาไหล,49.2,0.257,0.352,30.04
2020-01-11,100505,เขื่อนประแสร์,115.67,0,0.43,39.21
2020-01-12,rsv357,อ่างเก็บน้ำดอกกราย,33.682,0.227,0,47.17
2020-01-12,rsv359,อ่างเก็บน้ำคลองใหญ่,9.685,0.069,0.18,19.06
2020-01-12,100504,เขื่อนหนองปลาไหล,48.5,0.056,0.268,29.62
2020-01-12,100505,เขื่อนประแสร์,115.15,0,0.4,39.03
2020-01-13,rsv357,อ่างเก็บน้ำดอกกราย,33.547,0.084,0,46.98
2020-01-13,rsv359,อ่างเก็บน้ำคลองใหญ่,9.555,0.07,0.18,18.81
2020-01-13,100504,เขื่อนหนองปลาไหล,48.04,0.263,0.185,29.34
2020-01-13,100505,เขื่อนประแสร์,114.61,0,0.41,38.85
2020-01-14,rsv357,อ่างเก็บน้ำดอกกราย,33.547,0.232,0,46.98
2020-01-14,rsv359,อ่างเก็บน้ำคลองใหญ่,9.429,0.071,0.178,18.56
2020-01-14,100504,เขื่อนหนองปลาไหล,47.58,0.283,0.185,29.06
2020-01-14,100505,เขื่อนประแสร์,114.03,0,0.47,38.65
2020-01-15,rsv357,อ่างเก็บน้ำดอกกราย,33.344,0.02,0,46.7
2020-01-15,rsv359,อ่างเก็บน้ำคลองใหญ่,9.344,0,0.022,18.39
2020-01-15,100504,เขื่อนหนองปลาไหล,47.12,0.249,0.185,28.77
2020-01-15,100505,เขื่อนประแสร์,113.41,0,0.5,38.44
2020-01-16,rsv357,อ่างเก็บน้ำดอกกราย,33.141,0.028,0,46.42
2020-01-16,rsv359,อ่างเก็บน้ำคลองใหญ่,9.344,0.019,0,18.39
2020-01-16,100504,เขื่อนหนองปลาไหล,46.52,0.214,0.246,28.41
2020-01-16,100505,เขื่อนประแสร์,112.8,0,0.5,38.24
2020-01-17,rsv357,อ่างเก็บน้ำดอกกราย,33.007,0.088,0,46.23
2020-01-17,rsv359,อ่างเก็บน้ำคลองใหญ่,9.344,0.019,0,18.39
2020-01-17,100504,เขื่อนหนองปลาไหล,45.94,0.213,0.266,28.05
2020-01-17,100505,เขื่อนประแสร์,112.19,0,0.5,38.03
2020-01-18,rsv357,อ่างเก็บน้ำดอกกราย,33.007,0.088,0,46.23
2020-01-18,rsv359,อ่างเก็บน้ำคลองใหญ่,9.344,0.019,0,18.39
2020-01-18,100504,เขื่อนหนองปลาไหล,45.26,0.11,0.282,27.64
2020-01-18,100505,เขื่อนประแสร์,111.69,0,0.39,37.86
2020-01-19,rsv357,อ่างเก็บน้ำดอกกราย,32.606,0.03,0,45.67
2020-01-19,rsv359,อ่างเก็บน้ำคลองใหญ่,9.344,0.019,0,18.39
2020-01-19,100504,เขื่อนหนองปลาไหล,44.58,0.109,0.264,27.23
2020-01-19,100505,เขื่อนประแสร์,111.3,0,0.28,37.73
2020-01-20,rsv357,อ่างเก็บน้ำดอกกราย,32.743,0.095,0,45.86
2020-01-20,rsv359,อ่างเก็บน้ำคลองใหญ่,9.302,0,0,18.31
2020-01-20,100504,เขื่อนหนองปลาไหล,44.1,0.24,0.263,26.93
2020-01-20,100505,เขื่อนประแสร์,110.9,0,0.28,37.59
2020-01-21,rsv357,อ่างเก็บน้ำดอกกราย,32.208,0,0,45.11
2020-01-21,rsv359,อ่างเก็บน้ำคลองใหญ่,9.302,0.019,0,18.31
2020-01-21,100504,เขื่อนหนองปลาไหล,43.52,0.132,0.263,26.58
2020-01-21,100505,เขื่อนประแสร์,110.3,0,0.5,37.39
2020-01-22,rsv357,อ่างเก็บน้ำดอกกราย,32.01,0.031,0,44.83
2020-01-22,rsv359,อ่างเก็บน้ำคลองใหญ่,9.302,0.019,0,18.31
2020-01-22,100504,เขื่อนหนองปลาไหล,43.04,0.106,0.191,26.28
2020-01-22,100505,เขื่อนประแสร์,109.47,0,0.74,37.11
2020-01-23,rsv357,อ่างเก็บน้ำดอกกราย,31.813,0.033,0,44.56
2020-01-23,rsv359,อ่างเก็บน้ำคลองใหญ่,9.302,0.019,0,18.31
2020-01-23,100504,เขื่อนหนองปลาไหล,42.65,0.081,0.181,26.05
2020-01-23,100505,เขื่อนประแสร์,108.75,0,0.62,36.86
2020-01-24,rsv357,อ่างเก็บน้ำดอกกราย,31.552,0,0,44.19
2020-01-24,rsv359,อ่างเก็บน้ำคลองใหญ่,9.302,0.019,0,18.31
2020-01-24,100504,เขื่อนหนองปลาไหล,42.17,0.168,0.253,25.75
2020-01-24,100505,เขื่อนประแสร์,108.14,0,0.51,36.66
2020-01-25,rsv357,อ่างเก็บน้ำดอกกราย,31.358,0.04,0,43.92
2020-01-25,rsv359,อ่างเก็บน้ำคลองใหญ่,9.093,0,0.152,17.9
2020-01-25,100504,เขื่อนหนองปลาไหล,41.49,0,0.26,25.34
2020-01-25,100505,เขื่อนประแสร์,107.33,0,0.71,36.38
2020-01-26,rsv357,อ่างเก็บน้ำดอกกราย,31.164,0.041,0,43.65
2020-01-26,rsv359,อ่างเก็บน้ำคลองใหญ่,8.928,0.03,0.177,17.57
2020-01-26,100504,เขื่อนหนองปลาไหล,40.81,0.001,0.26,24.92
2020-01-26,100505,เขื่อนประแสร์,106.48,0,0.74,36.09
2020-01-27,rsv357,อ่างเก็บน้ำดอกกราย,30.97,0.04,0,43.38
2020-01-27,rsv359,อ่างเก็บน้ำคลองใหญ่,8.765,0.031,0.176,17.25
2020-01-27,100504,เขื่อนหนองปลาไหล,40.13,0.044,0.338,24.51
2020-01-27,100505,เขื่อนประแสร์,105.64,0,0.74,35.81
2020-01-28,rsv357,อ่างเก็บน้ำดอกกราย,30.77,0.036,0,43.1
2020-01-28,rsv359,อ่างเก็บน้ำคลองใหญ่,8.604,0.032,0.175,16.94
2020-01-28,100504,เขื่อนหนองปลาไหล,39.36,0.007,0.337,24.04
2020-01-28,100505,เขื่อนประแสร์,105,0,0.55,35.59
2020-01-29,rsv357,อ่างเก็บน้ำดอกกราย,30.585,0.037,0,42.84
2020-01-29,rsv359,อ่างเก็บน้ำคลองใหญ่,8.444,0.032,0.174,16.62
2020-01-29,100504,เขื่อนหนองปลาไหล,38.97,0.254,0.209,23.8
2020-01-29,100505,เขื่อนประแสร์,104.37,0,0.53,35.38
2020-01-30,rsv357,อ่างเก็บน้ำดอกกราย,30.394,0.028,0,42.57
2020-01-30,rsv359,อ่างเก็บน้ำคลองใหญ่,8.286,0.033,0.174,16.31
2020-01-30,100504,เขื่อนหนองปลาไหล,38.3,0,0.178,23.39
2020-01-30,100505,เขื่อนประแสร์,30.34,0,0.51,10.28
2020-01-31,rsv357,อ่างเก็บน้ำดอกกราย,30.14,0,0,42.21
2020-01-31,rsv359,อ่างเก็บน้ำคลองใหญ่,8.13,0.034,0.173,16
2020-01-31,100504,เขื่อนหนองปลาไหล,38,0.04,0.18,23.21
2020-01-31,100505,เขื่อนประแสร์,103,0,0.34,34.92
2020-02-01,rsv357,อ่างเก็บน้ำดอกกราย,30.14,0,0,42.21
2020-02-01,rsv359,อ่างเก็บน้ำคลองใหญ่,8.13,0.034,0.173,16
2020-02-01,100504,เขื่อนหนองปลาไหล,37.01,0.178,0.176,22.6
2020-02-01,100505,เขื่อนประแสร์,34.86,0,0.37,11.82
2020-02-02,rsv357,อ่างเก็บน้ำดอกกราย,29,0.043,0,40.62
2020-02-02,rsv359,อ่างเก็บน้ำคลองใหญ่,8.13,0,0,16
2020-02-02,100504,เขื่อนหนองปลาไหล,36.38,0.021,0.176,22.22
2020-02-02,100505,เขื่อนประแสร์,102.19,0,0.56,34.64
2020-02-03,rsv357,อ่างเก็บน้ำดอกกราย,29.51,0.043,0,41.33
2020-02-03,rsv359,อ่างเก็บน้ำคลองใหญ่,8.13,0,0,16
2020-02-03,100504,เขื่อนหนองปลาไหล,35.98,0.065,0.253,21.97
2020-02-03,100505,เขื่อนประแสร์,34.42,0,0.55,11.67
2020-02-04,rsv357,อ่างเก็บน้ำดอกกราย,29.323,0.044,0,41.07
2020-02-04,rsv359,อ่างเก็บน้ำคลองใหญ่,8.13,0,0,16
2020-02-04,100504,เขื่อนหนองปลาไหล,35.74,0.181,0.252,21.83
2020-02-04,100505,เขื่อนประแสร์,100.85,0,0.59,34.19
2020-02-05,rsv357,อ่างเก็บน้ำดอกกราย,29.012,0,0,40.63
2020-02-05,rsv359,อ่างเก็บน้ำคลองใหญ่,8.13,0.019,0,16
2020-02-05,100504,เขื่อนหนองปลาไหล,35.51,0.195,0.252,21.68
2020-02-05,100505,เขื่อนประแสร์,100.16,0,0.59,33.95
2020-02-06,rsv357,อ่างเก็บน้ำดอกกราย,28.827,0.046,0,40.37
2020-02-06,rsv359,อ่างเก็บน้ำคลองใหญ่,8.13,0.019,0,16
2020-02-06,100504,เขื่อนหนองปลาไหล,35.27,0.141,0.252,21.54
2020-02-06,100505,เขื่อนประแสร์,99.47,0,0.59,33.72
2020-02-07,rsv357,อ่างเก็บน้ำดอกกราย,28.642,0.046,0,40.11
2020-02-07,rsv359,อ่างเก็บน้ำคลองใหญ่,8.091,0,0,15.93
2020-02-07,100504,เขื่อนหนองปลาไหล,34.95,0.074,0.251,21.35
2020-02-07,100505,เขื่อนประแสร์,98.78,0,0.59,33.48
2020-02-08,rsv357,อ่างเก็บน้ำดอกกราย,28.397,0,0,39.77
2020-02-08,rsv359,อ่างเก็บน้ำคลองใหญ่,8.091,0.19,0,15.93
2020-02-08,100504,เขื่อนหนองปลาไหล,34.8,0.213,0.251,21.25
2020-02-08,100505,เขื่อนประแสร์,98.14,0,0.53,33.27
2020-02-09,rsv357,อ่างเก็บน้ำดอกกราย,28.214,0.048,0,39.52
2020-02-09,rsv359,อ่างเก็บน้ำคลองใหญ่,8.091,0.019,0,15.93
2020-02-09,100504,เขื่อนหนองปลาไหล,34.56,0.025,0.251,21.1
2020-02-09,100505,เขื่อนประแสร์,97.51,0,0.53,33.05
2020-02-10,rsv357,อ่างเก็บน้ำดอกกราย,28.032,0.078,0,39.26
2020-02-10,rsv359,อ่างเก็บน้ำคลองใหญ่,8.091,0.019,0,15.93
2020-02-10,100504,เขื่อนหนองปลาไหล,34.32,0.166,0.25,20.96
2020-02-10,100505,เขื่อนประแสร์,96.88,0,0.53,32.84
2020-02-11,rsv357,อ่างเก็บน้ำดอกกราย,27.79,0,0,38.92
2020-02-11,rsv359,อ่างเก็บน้ำคลองใหญ่,7.823,0,0.157,15.4
2020-02-11,100504,เขื่อนหนองปลาไหล,34.08,0.149,0.25,20.81
2020-02-11,100505,เขื่อนประแสร์,96.05,0,0.73,32.56
2020-02-12,rsv357,อ่างเก็บน้ำดอกกราย,27.489,0,0,38.5
2020-02-12,rsv359,อ่างเก็บน้ำคลองใหญ่,7.672,0.039,0.172,15.1
2020-02-12,100504,เขื่อนหนองปลาไหล,33.77,0.068,0.249,20.62
2020-02-12,100505,เขื่อนประแสร์,95.19,0,0.76,32.27
2020-02-13,rsv357,อ่างเก็บน้ำดอกกราย,27.37,0.115,0,38.33
2020-02-13,rsv359,อ่างเก็บน้ำคลองใหญ่,7.486,0.001,0.169,14.74
2020-02-13,100504,เขื่อนหนองปลาไหล,33.45,0.049,0.249,20.43
2020-02-13,100505,เขื่อนประแสร์,94.33,0,0.76,31.98
2020-02-14,rsv357,อ่างเก็บน้ำดอกกราย,27.072,0,0,37.92
2020-02-14,rsv359,อ่างเก็บน้ำคลองใหญ่,7.339,0.039,0.168,14.45
2020-02-14,100504,เขื่อนหนองปลาไหล,33.13,0.054,0.248,20.23
2020-02-14,100505,เขื่อนประแสร์,93.47,0,0.77,31.68
2020-02-15,rsv357,อ่างเก็บน้ำดอกกราย,26.894,0.057,0,37.67
2020-02-15,rsv359,อ่างเก็บน้ำคลองใหญ่,7.158,0.004,0.167,14.09
2020-02-15,100504,เขื่อนหนองปลาไหล,32.66,0,0.248,19.94
2020-02-15,100505,เขื่อนประแสร์,92.7,0,0.66,31.42
2020-02-16,rsv357,อ่างเก็บน้ำดอกกราย,26.717,0.053,0,37.42
2020-02-16,rsv359,อ่างเก็บน้ำคลองใหญ่,7.015,0.041,0.166,13.81
2020-02-16,100504,เขื่อนหนองปลาไหล,32.34,0.035,0.247,19.75
2020-02-16,100505,เขื่อนประแสร์,91.99,0,0.62,31.18
2020-02-17,rsv357,อ่างเก็บน้ำดอกกราย,26.482,0,0,37.09
2020-02-17,rsv359,อ่างเก็บน้ำคลองใหญ่,6.873,0.041,0.166,13.53
2020-02-17,100504,เขื่อนหนองปลาไหล,31.95,0,0.247,19.51
2020-02-17,100505,เขื่อนประแสร์,91.27,0,0.62,30.94
2020-02-18,rsv357,อ่างเก็บน้ำดอกกราย,26.249,0,0.246,36.76
2020-02-18,rsv359,อ่างเก็บน้ำคลองใหญ่,6.873,0.037,0.021,13.53
2020-02-18,100504,เขื่อนหนองปลาไหล,31.55,0,0.246,19.27
2020-02-18,100505,เขื่อนประแสร์,90.35,0,0.82,30.63
2020-02-19,rsv357,อ่างเก็บน้ำดอกกราย,26.016,0,0,36.44
2020-02-19,rsv359,อ่างเก็บน้ำคลองใหญ่,6.873,0.017,0,13.53
2020-02-19,100504,เขื่อนหนองปลาไหล,31.39,0.061,0.245,19.17
2020-02-19,100505,เขื่อนประแสร์,89.26,0,0.99,30.26
