reservoir,thai_year,month,outflow,level_end
NPL,2537,1,3.9539,70.7
NPL,2537,2,6.143,67.6
NPL,2537,3,10.2125,61.7
NPL,2537,4,10.8864,56.6
NPL,2537,5,11.2493,54.1
NPL,2537,6,9.8496,59.8
NPL,2537,7,4.9421,84.8
NPL,2537,8,3.5078,90.8
NPL,2537,9,2.592,118.7713
NPL,2537,10,6.8934,154.3326
NPL,2537,11,7.7554,154.5517
NPL,2537,12,10.2654,149.9503
NPL,2538,1,11.7853,139.6438
NPL,2538,2,6.1738,133.6459
NPL,2538,3,15.5062,119.3146
NPL,2538,4,22.6178,101.7597
NPL,2538,5,32.3182,85.1133
NPL,2538,6,30.4443,68.9556
NPL,2538,7,29.1089,61.1146
NPL,2538,8,17.2807,71.7946
NPL,2538,9,57.6859,125.8486
NPL,2538,10,71.6492,169.0047
NPL,2538,11,27.0146,162.4398
NPL,2538,12,6.1283,158.2766
NPL,2539,1,7.0362,153.8943
NPL,2539,2,6.5822,148.6356
NPL,2539,3,15.3585,136.6443
NPL,2539,4,25.7204,120.7634
NPL,2539,5,28.9712,106.9998
NPL,2539,6,28.4957,117.8658
NPL,2539,7,33.547,126.0485
NPL,2539,8,39.3819,114.4249
NPL,2539,9,37.7577,117.8658
NPL,2539,10,20.1374,146.4444
NPL,2539,11,15.8901,158.0575
NPL,2539,12,2.9506,159.1531
NPL,2540,1,13.5653,150.3885
NPL,2540,2,14.984,139.2439
NPL,2540,3,23.8369,120.7634
NPL,2540,4,22.4061,114.4249
NPL,2540,5,10.5175,118.9524
NPL,2540,6,21.9732,101.7597
NPL,2540,7,14.817,89.7129
NPL,2540,8,14.0518,77.2237
NPL,2540,9,13.0525,91.3631
NPL,2540,10,5.6503,136.045
NPL,2540,11,6.7954,149.9503
NPL,2540,12,13.2356,144.6915
NPL,2541,1,13.0081,137.0447
NPL,2541,2,12.1505,131.6466
NPL,2541,3,16.3849,118.4091
NPL,2541,4,16.4401,107.7242
